,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
239,069620,KR7069620003,대웅제약,KOSPI,,102700,2,-300,-0.29,103100,104000,102500,12383,1275394100,1189941252500,11586575,STK
240,001720,KR7001720002,신영증권,KOSPI,,72000,1,800,1.12,71000,72000,70500,3227,229145800,1183680000000,16440000,STK
241,103590,KR7103590006,일진전기,KOSPI,,24800,2,-500,-1.98,25300,25600,24550,407823,10183540350,1182597672000,47685390,STK
242,006110,KR7006110001,삼아알미늄,KOSPI,,80300,2,-1100,-1.35,80600,83000,80100,49495,4035427100,1181366854800,14711916,STK
243,067310,KR7067310003,하나마이크론,KOSDAQ,우량기업부,22500,2,-350,-1.53,23100,23100,22400,309852,7016363400,1173813187500,52169475,KSQ
244,004000,KR7004000006,롯데정밀화학,KOSPI,,45450,1,800,1.79,44650,45450,44600,38963,1755891350,1172610000000,25800000,STK
245,004800,KR7004800009,효성,KOSPI,,57000,2,-300,-0.52,57300,57700,56800,32973,1889171000,1166581038000,20466334,STK
246,140410,KR7140410002,메지온,KOSDAQ,중견기업부,38900,2,-350,-0.89,38950,39650,38500,56925,2226788550,1157454990300,29754627,KSQ
247,001120,KR7001120005,LX인터내셔널,KOSPI,,29800,1,1250,4.38,28500,29850,28200,282517,8224605200,1155048000000,38760000,STK
248,222800,KR7222800005,심텍,KOSDAQ GLOBAL,우량기업부,36150,2,-750,-2.03,37250,37250,36100,239917,8749696250,1151527269450,31854143,KSQ
249,033100,KR7033100009,제룡전기,KOSDAQ,우량기업부,71600,3,0,0.0,72300,73900,71400,393994,28605482600,1150068484400,16062409,KSQ
250,069960,KR7069960003,현대백화점,KOSPI,,48850,1,800,1.66,48050,49200,48050,26406,1288334800,1143209242850,23402441,STK
251,352480,KR7352480008,씨앤씨인터내셔널,KOSDAQ,벤처기업부,113900,2,-2600,-2.23,115400,119700,111800,80459,9167451600,1140587879900,10013941,KSQ
252,294870,KR7294870001,HDC현대산업개발,KOSPI,,17300,2,-10,-0.06,17310,17490,17160,65009,1124162140,1140196809000,65907330,STK
253,336370,KR7336370002,솔루스첨단소재,KOSPI,,16140,2,-200,-1.22,16470,16790,16100,210633,3468955470,1133307932160,70217344,STK
254,317330,KR7317330009,덕산테코피아,KOSDAQ,우량기업부,56400,2,-4800,-7.84,61100,61400,56200,527129,30885929100,1125728546400,19959726,KSQ
255,440110,KR7440110005,파두,KOSDAQ,기술성장기업부,22800,2,-650,-2.77,23150,23500,22550,326736,7489596500,1121111112000,49171540,KSQ
